,sample_size,agglomerative_pycluster,dbscan_pycluster,kmeans_pycluster,kmedians_pycluster,kmedoids_pycluster,optics_pycluster,rock_pycluster,xmeans_pycluster
0,500.0,0.9792386054992676,0.007116794586181641,0.005472993850708008,0.006787157058715821,0.6420050144195557,0.009389019012451172,0.7833332061767578,0.007232856750488281
1,1000.0,9.16849217414856,0.04537954330444336,0.05242023468017578,0.05718388557434082,2.6767465591430666,0.0159698486328125,3.750144386291504,0.05208287239074707
2,1500.0,32.43859963417053,0.021626710891723633,0.0229738712310791,0.01826171875,5.759967613220215,0.05012755393981934,8.38401551246643,0.03363070487976074
3,2000.0,,0.029651784896850587,0.0552278995513916,0.06732416152954102,10.433637046813965,0.06185030937194824,14.217803001403809,0.08484091758728027
4,2500.0,,0.0726595401763916,0.026175785064697265,0.031089353561401366,15.460722017288209,0.07113475799560547,22.842479372024535,0.05502018928527832
5,3000.0,,0.08175725936889648,0.06645069122314454,0.07507052421569824,22.700148391723634,0.07854766845703125,32.460285329818724,0.11628952026367187
6,4000.0,,0.0935396671295166,0.08724541664123535,0.09028458595275879,39.15416197776794,0.1039576530456543,,0.12582836151123047
7,5000.0,,0.11509971618652344,0.1448606014251709,0.11112146377563477,,0.15537629127502442,,0.13058595657348632
8,6000.0,,0.17266197204589845,0.2058161735534668,0.17211275100708007,,0.19119114875793458,,0.1064326286315918
9,8000.0,,0.2148146152496338,0.16940536499023437,0.1739227294921875,,0.26308670043945315,,0.13528642654418946
10,10000.0,,0.29799680709838866,0.21128969192504882,0.21977920532226564,,0.413356351852417,,0.210837984085083
11,12000.0,,0.3499924659729004,0.2251615047454834,0.40378642082214355,,0.5568244457244873,,0.25092391967773436
12,14000.0,,0.6604771137237548,0.29417266845703127,0.7206207275390625,,0.4953577518463135,,0.3230745315551758
13,16000.0,,0.5367454051971435,0.31756114959716797,0.566272497177124,,0.6044820785522461,,0.37881760597229003
14,18000.0,,0.634915828704834,0.4134394645690918,0.405376672744751,,0.7195778369903565,,0.528519582748413
15,20000.0,,0.7589378833770752,0.5417662620544433,0.4565561294555664,,0.9486344337463379,,0.440839958190918
16,22000.0,,1.0775175094604492,0.41976232528686525,0.6880955696105957,,0.9293670654296875,,0.499571704864502
17,24000.0,,0.9914629459381104,0.5029184818267822,0.8979044437408448,,1.195514440536499,,0.5705401420593261
18,26000.0,,1.2187147617340088,0.6321691513061524,0.6707380771636963,,1.1619407176971435,,0.70516939163208
19,28000.0,,1.2857369422912597,0.6200928688049316,0.7603704929351807,,1.422291898727417,,0.6540988922119141
20,30000.0,,1.6656673908233643,0.6366255760192872,0.7205997467041015,,1.3416193962097167,,0.8560898303985596
21,32000.0,,1.3058763504028321,0.7838694095611572,0.8990554809570312,,1.717936372756958,,0.7018992900848389
