,sample_size,dbscan_pycluster,kmeans_pycluster,kmedians_pycluster,optics_pycluster,xmeans_pycluster
0,20000.0,0.736569595336914,0.5191950798034668,1.3857391834259034,1.2355956077575683,0.7986263275146485
1,40000.0,2.174027919769287,0.8485745429992676,1.103138256072998,2.4812286376953123,1.090393304824829
2,60000.0,3.7057101249694826,1.3849804878234864,1.6120373249053954,4.014781522750854,1.5661993026733398
3,80000.0,6.62909574508667,1.867410945892334,2.130987787246704,6.192298936843872,2.087937831878662
4,100000.0,9.77284345626831,2.271915149688721,2.5801135540008544,8.030738306045532,2.447924566268921
5,120000.0,11.742365217208862,3.0821401119232177,3.3999322414398194,10.444218826293945,3.186246061325073
6,140000.0,13.499408769607545,3.1243333339691164,7.434375238418579,13.348392152786255,3.661134386062622
7,160000.0,15.241980028152465,3.57236647605896,8.946206712722779,16.26902484893799,3.9419817447662355
8,180000.0,18.851907825469972,4.013103199005127,4.6294698238372805,19.093980073928833,4.200744009017944
9,200000.0,21.14403591156006,4.7283350944519045,5.309317111968994,22.34460973739624,4.955577945709228
